page,image_path,caption
1,slides_rendered_blip2\slide_01.png,qqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq
2,slides_rendered_blip2\slide_02.png,a white page with the words forward looking statements and non-gap financial measures
3,slides_rendered_blip2\slide_03.png,a table showing the income statement for a company
4,slides_rendered_blip2\slide_04.png,a graph showing the revenue and operating income of a company
5,slides_rendered_blip2\slide_05.png,a graph showing the cost of revenue and operating expenses
6,slides_rendered_blip2\slide_06.png,google services revenue and operating income
7,slides_rendered_blip2\slide_07.png,google cloud revenue and operating expenses
8,slides_rendered_blip2\slide_08.png,a bar chart showing the capital expenditures of a company
9,slides_rendered_blip2\slide_09.png,training traveled months free cash flow
10,slides_rendered_blip2\slide_10.png,a table with the words recouping from gap cash by operating non-gap free cash flow
