image_path,ocr_text
slides_rendered\slide_01.png,Alphabet Q@1 2025 Earnings
slides_rendered\slide_02.png,Q1 2025 Earnings Alphabet
slides_rendered\slide_03.png,Q1 2025 Earnings Alphabet Alphabet Income Statement
slides_rendered\slide_04.png,Q1 2025 Earnings Alphabet Alphabet Revenues and Operating Income
slides_rendered\slide_05.png,Q1 2025 Earnings Alphabet Alphabet Cost of Revenues and Operating Expenses
slides_rendered\slide_06.png,Q1 2025 Earnings Alphabet
slides_rendered\slide_07.png,Q1 2025 Earnings Alphabet Google Cloud Revenues and Operating Income
slides_rendered\slide_08.png,Q1 2025 Earnings Alphabet
slides_rendered\slide_09.png,Q1 2025 Earnings Alphabet
slides_rendered\slide_10.png,Q1 2025 Earnings Alphabet Reconciliation from GAAP Net Cash Provided by Operating
